INDEX,NAME,SHIRTNAME,JAPANESE PLAYER NAME,SPACING,COMMENTARY,AGE,NATIONALITY,FOOT,WEIGHT,HEIGHT,FORM,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,INJURY TOLERANCE,GROWTH TYPE,MARKET PRICE,GK 0,SW 1,CB 2,LB 3,RB 4,DMF 5,CMF 6,LMF 7,RMF 8,AMF 9,LWF 10,RWF 11,SS 12,CF 13,POSITION,ATTACK,DEFENCE,HEADER ACCURACY,DRIBBLE ACCURACY,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,PLACE KICKING,SWERVE,BALL CONTROLL,GOAL KEEPING SKILLS,RESPONSE,EXPLOSIVE POWER,DRIBBLE SPEED,TOP SPEED,BODY BALANCE,STAMINA,KICKING POWER,JUMP,TENACITY,TEAMWORK,S01 1-TOUCH PLAY,S02 OUTSIDE CURVE,S03 LONG THROW,S04 SUPER-SUB,S05 SPEED MERCHANT,S06 LONG RANGE DRIVE,S07 SHOULDER FEINT SKILLS,S08 TURNING SKILLS,S09 ROULETTE SKILLS,S10 FLIP FLAP SKILLS,S11 FLICKING SKILLS,S12 SCISSORS SKILLS,S13 STEP ON SKILLS,S14 DEFT TOUCH SKILLS,S15 KNUCKLE SHOT,S16 JUMPING VOLLEY,S17 SCISSOR KICK,S18 HEEL FLICK,S19 WEIGHTED PASS,S20 DOUBLE TOUCH,S21 RUN AROUND,S22 SOMBRERO,S23 180 DRAG,S24 LUNGING TACKLE,S25 DIVING HEADER,S26 GK LONG THROW,P01 CLASSIC NO.10,P02 ANCHOR MAN,P03 TRICKSTER,P04 DARTING RUN,P05 MAZING RUN,P06 PINPOINT PASS,P07 EARLY CROSS,P08 BOX TO BOX,P09 INCISIVE RUN,P10 LONG RANGER,P11 ENFORCER,P12 GOAL POACHER,P13 DUMMY RUNNER,P14 FREE ROAMING,P15 TALISMAN,P16 FOX IN THE BOX,P17 OFFENSIVE SIDEBACK,P18 TRACK BACK,ATTACK AWARENESS,DEFENCE AWARENESS,SKIN COLOR,SKIN TEXTURE,FACE MODE,LINKED FACE,FACE SLOT,LINKED HAIR,HAIR SLOT,BOOTS,UNTUCKED SHIRT,TIGHT KIT,GLOVES,DRIBBLE STYLE,FREE KICK STYLE,PENALTY KICK STYLE,DROP KICK STYLE,GOAL CELEBRATION STYLE #1,GOAL CELEBRATION STYLE #2,CLUB TEAM,NUMBER,NATIONAL TEAM
0,DUMMY,DUMMY,ダミー,3,0,22,England,R,70,175,4,4,4,C,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CF,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,Special,1,1078,1,5153,22,1,0,0,1,1,1,1,0,0,阿森纳,255,奥地利
72,阿部勇树,ABE,^??? 勇樹,2,0,31,Japan,R,77,177,7,4,4,B,26,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,DMF,63,72,82,72,75,72,75,75,68,75,82,76,50,78,73,70,74,75,80,76,79,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,Special,1,723,1,4798,51,0,0,0,1,10,1,1,0,0,日本,35,
162,石川直宏,ISHIKAWA,石川 直宏,2,0,31,Japan,R,70,175,5,7,7,C,84,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,RMF,73,44,66,78,73,74,76,77,73,71,73,78,50,70,82,83,82,71,75,79,70,74,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,Special,1,1604,1,5679,32,0,0,0,4,1,1,1,0,0,日本,45,
220,前田辽一,MAEDA,前田 遼一,2,0,30,Japan,R,80,183,5,5,6,B,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CF,77,46,80,80,76,73,74,75,76,70,72,84,50,78,75,78,75,81,82,77,78,72,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,Special,1,1144,1,5219,26,1,0,0,1,1,1,1,0,0,,18,日本
250,远滕保仁,ENDO,遠藤 保仁,2,766,32,Japan,R,73,178,4,5,4,A,13,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,CMF,75,68,70,79,84,79,83,76,73,82,83,82,50,71,67,71,72,75,81,75,71,72,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,Special,1,726,1,4801,14,1,0,0,1,7,3,1,0,0,,7,日本
277,大久保嘉人,OKUBO,大久保 嘉人,2,0,30,Japan,R,73,170,4,6,5,B,152,2,0,0,0,0,0,0,0,1,1,1,0,0,1,1,SS,73,50,77,77,77,74,74,72,73,67,65,79,50,81,80,76,78,78,82,72,82,75,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2,1,Special,1,1143,1,5218,5,0,0,0,2,1,1,1,0,0,日本,42,
329,驹野友一,KOMANO,駒野 友一,2,0,31,Japan,R,76,172,7,5,5,A,3,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,RB,68,67,68,73,70,74,78,80,63,74,78,71,50,73,76,74,76,71,86,79,75,71,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,Special,1,732,1,4807,40,0,0,1,1,8,1,1,0,0,,3,日本
450,Emerson,EMERSON,エメルソン,2,753,34,Qatar,R,69,170,4,5,5,B,47,5,0,0,0,0,0,0,0,1,1,0,1,1,1,1,CF,79,48,70,75,66,65,67,67,80,71,70,74,50,79,78,85,86,72,75,76,77,82,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,Default,0,131,0,4215,20,0,0,0,1,1,1,1,0,0,科林蒂安,11,
557,朴智星,J.S. PARK,パク チソン,2,1916,31,South Korea,R,72,175,5,6,6,A,76,6,0,0,0,0,0,1,1,1,1,1,1,1,1,0,AMF,77,65,79,81,82,82,80,74,74,76,73,80,50,86,81,81,82,80,87,76,73,85,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,Special,1,805,1,4880,61,0,0,0,1,8,4,1,96,0,女王公园巡游者,7,
673,林卓人,HAYASHI,林 卓人,2,0,30,Japan,R,87,188,6,4,4,B,66,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,30,77,55,58,61,63,62,64,45,45,45,60,78,86,69,54,70,81,60,82,75,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,Special,1,1832,1,5907,39,0,0,0,1,1,1,4,0,0,日本,27,
721,Richard Dunne,DUNNE,ダン,2,697,33,Ireland,R,95,188,7,5,4,A,20,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,CB,53,85,82,71,73,72,73,70,63,72,64,72,50,81,65,67,80,88,76,86,77,82,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,Special,1,640,1,4715,22,1,0,0,1,8,1,1,0,0,阿斯顿维拉,5,爱尔兰
723,Ian Harte,HARTE,ハート,2,0,35,Ireland,L,73,175,4,7,6,A,77,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,LB,72,60,65,74,74,77,81,88,67,84,92,72,50,72,71,72,72,72,74,87,71,68,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,Default,0,131,0,4316,21,0,0,0,1,1,1,1,0,0,雷丁,23,
729,Robbie Keane,R. KEANE,ロビー キーン,2,2086,32,Ireland,R,64,175,5,6,5,A,198,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CF,84,38,70,76,75,75,72,73,84,65,69,80,50,85,82,73,77,74,75,75,74,87,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,1,1,Special,1,629,1,4704,8,0,0,0,1,1,1,1,29,0,,10,爱尔兰
736,Damien Duff,DUFF,ダフ,2,695,33,Ireland,L,75,177,4,6,6,C,72,5,0,0,0,0,0,0,0,1,1,0,1,1,1,0,RMF,79,55,67,86,78,80,79,79,74,73,83,82,50,82,84,82,76,78,83,78,70,80,83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,Special,1,626,1,4701,18,0,0,0,2,1,1,1,9,0,富勒姆,16,爱尔兰
737,Rory Delap,DELAP,デラップ,2,615,36,Ireland,R,81,183,5,5,5,C,106,4,0,0,0,1,1,0,1,1,1,0,0,0,0,0,CMF,72,63,71,74,76,75,75,75,65,65,72,73,50,71,74,76,73,73,77,77,75,72,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,Default,0,131,0,4513,21,0,0,0,1,1,1,1,0,0,,7,
742,Roy Carroll,CARROLL,キャロル,2,0,35,Northern Ireland,R,80,188,6,3,3,A,81,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,30,84,41,50,56,58,45,55,40,41,41,45,80,86,70,51,63,83,60,80,77,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,Special,1,1285,1,5360,27,0,0,0,1,1,1,1,0,0,奥林匹亚科斯,1,
745,Aaron Hughes,HUGHES,アーロン ヒューズ,2,2,32,Northern Ireland,R,78,183,6,4,4,A,138,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,CB,59,82,75,74,75,77,77,77,62,64,65,75,50,82,75,73,77,76,80,76,76,82,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,Special,1,1276,1,5351,20,0,0,0,1,8,1,1,0,0,富勒姆,18,北爱尔兰
793,Giggs,GIGGS,ギグス,2,948,38,Wales,L,68,180,4,5,4,C,102,7,0,0,0,0,0,0,1,1,0,1,1,0,1,0,CMF,83,62,70,86,87,85,89,84,74,81,83,88,50,74,75,82,75,74,74,77,72,82,86,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,Special,1,1375,1,5450,21,0,0,0,2,7,1,1,57,0,曼彻斯特联,11,
801,Simon Davies,DAVIES,デイヴィス,2,2257,33,Wales,R,76,178,3,7,6,B,212,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,LMF,75,65,66,80,79,78,83,80,70,75,80,82,50,77,79,78,75,74,80,81,69,74,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,Special,1,1379,1,5454,20,1,0,0,1,1,1,1,0,0,富勒姆,29,
804,Bellamy,BELLAMY,ベラミー,2,265,33,Wales,R,69,175,4,6,6,C,106,5,0,0,0,0,0,0,0,1,1,0,1,1,1,0,SS,85,47,70,77,74,76,77,77,77,73,77,74,50,82,87,87,90,73,86,79,79,84,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,1,Special,1,1374,1,5449,21,1,0,0,4,1,1,1,0,0,,7,
811,Gareth Barry,BARRY,バリー,2,248,31,England,L,79,183,7,5,4,B,97,5,0,0,1,1,0,1,1,1,0,0,0,0,0,0,DMF,72,76,70,77,81,84,85,85,71,72,77,79,50,80,74,75,71,84,83,80,77,76,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,Special,1,1091,1,5166,58,0,0,0,3,1,1,1,0,0,曼彻斯特城,18,
815,Beckham,BECKHAM,ベッカム,2,0,37,England,R,76,183,6,5,4,A,2,7,0,0,0,0,0,1,1,0,1,1,0,0,1,0,RMF,80,72,68,77,85,89,98,90,77,95,98,84,50,80,77,75,75,75,86,84,69,87,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,Special,1,375,1,4450,55,0,0,0,1,5,1,1,115,105,巴黎圣日尔曼,32,
816,Scholes,SCHOLES,スコールズ,2,2192,37,England,R,70,170,4,5,5,B,3,6,0,0,0,0,0,1,1,1,1,1,0,0,1,0,CMF,79,64,84,83,93,85,88,89,72,71,72,83,50,77,70,74,67,75,75,85,73,82,92,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,1,Special,1,403,1,4478,19,1,0,0,2,1,1,1,0,0,曼彻斯特联,22,
817,Owen,OWEN,オーウェン,2,0,32,England,R,70,173,3,5,5,C,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CF,80,35,81,83,75,74,75,67,84,63,65,84,50,87,78,77,76,77,68,74,77,82,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,Special,1,392,1,4467,12,0,0,0,1,1,1,1,39,30,斯托克城,10,
820,Rio Ferdinand,FERDINAND,ファーディナンド,2,842,33,England,R,86,191,4,5,5,C,47,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,CB,53,89,82,75,76,80,75,77,55,62,60,79,50,80,70,71,71,87,73,77,80,85,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,Special,1,400,1,4475,62,0,0,0,1,1,1,1,0,0,曼彻斯特联,5,
821,Phil Neville,P. NEVILLE,フィル ネヴィル,2,1966,35,England,R,76,180,6,6,6,C,56,5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,RB,63,73,72,75,76,84,73,75,66,66,65,75,50,83,75,74,74,74,82,76,71,84,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,1,Special,1,399,1,4474,20,0,0,0,1,1,1,1,0,0,埃弗顿,18,
822,Gerrard,GERRARD,ジェラード,2,944,32,England,R,80,185,4,6,6,C,63,7,0,0,0,0,0,1,1,1,1,1,0,0,1,0,CMF,83,69,83,80,83,92,91,92,75,76,76,82,50,75,71,75,74,83,81,91,76,92,85,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,Special,1,408,1,4483,55,0,0,0,1,8,1,1,68,82,利物浦,8,英格兰
823,Kieron Dyer,DYER,ダイアー,2,0,33,England,R,64,173,2,5,5,C,84,4,0,0,0,1,1,0,1,1,1,1,1,1,0,0,CMF,75,50,65,80,77,77,77,74,73,67,75,78,50,76,82,81,81,73,70,77,80,73,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,Special,1,388,1,4463,26,0,0,0,1,1,1,1,0,0,,7,
826,Joe Cole,J. COLE,ジョー コール,2,0,30,England,R,76,175,4,6,5,C,87,6,0,0,0,0,0,0,0,1,1,1,1,1,1,0,AMF,77,52,63,87,85,85,83,83,72,71,75,86,50,74,84,86,78,77,77,76,78,70,72,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,Special,1,384,1,4459,61,0,0,0,1,1,1,1,0,0,西汉姆联,26,
