TEAMNAME,SHORTNAME,STADIUM,CHANTS SLOT,FLAG SLOT,PL.NAME 1,NR 1,PL.NAME 2,NR 2,PL.NAME 3,NR 3,PL.NAME 4,NR 4,PL.NAME 5,NR 5,PL.NAME 6,NR 6,PL.NAME 7,NR 7,PL.NAME 8,NR 8,PL.NAME 9,NR 9,PL.NAME 10,NR 10,PL.NAME 11,NR 11,PL.NAME 12,NR 12,PL.NAME 13,NR 13,PL.NAME 14,NR 14,PL.NAME 15,NR 15,PL.NAME 16,NR 16,PL.NAME 17,NR 17,PL.NAME 18,NR 18,PL.NAME 19,NR 19,PL.NAME 20,NR 20,PL.NAME 21,NR 21,PL.NAME 22,NR 22,PL.NAME 23,NR 23,PL.NAME 24,NR 24,PL.NAME 25,NR 25,PL.NAME 26,NR 26,PL.NAME 27,NR 27,PL.NAME 28,NR 28,PL.NAME 29,NR 29,PL.NAME 30,NR 30,PL.NAME 31,NR 31,PL.NAME 32,NR 32,LONG FK,SHORT FK,FK2,CORNER L,CORNER R,PENALTY,CAPTAIN,CB OVERLAP,GO UP 1,GO UP 2,GO UP 3,F0 PL1 X/Y,F0 PL2 X/Y,F0 PL3 X/Y,F0 PL4 X/Y,F0 PL5 X/Y,F0 PL6 X/Y,F0 PL7 X/Y,F0 PL8 X/Y,F0 PL9 X/Y,F0 PL10 X/Y,F0 PL11 X/Y,F0 ROLE PL1,F0 ROLE PL2,F0 ROLE PL3,F0 ROLE PL4,F0 ROLE PL5,F0 ROLE PL6,F0 ROLE PL7,F0 ROLE PL8,F0 ROLE PL9,F0 ROLE PL10,F0 ROLE PL11,F0 ATTACK PL1,F0 ATTACK PL2,F0 ATTACK PL3,F0 ATTACK PL4,F0 ATTACK PL5,F0 ATTACK PL6,F0 ATTACK PL7,F0 ATTACK PL8,F0 ATTACK PL9,F0 ATTACK PL10,F0 ATTACK PL11,F0 DEFENCE PL1,F0 DEFENCE PL2,F0 DEFENCE PL3,F0 DEFENCE PL4,F0 DEFENCE PL5,F0 DEFENCE PL6,F0 DEFENCE PL7,F0 DEFENCE PL8,F0 DEFENCE PL9,F0 DEFENCE PL10,F0 DEFENCE PL11,FA PL1 X/Y,FA PL2 X/Y,FA PL3 X/Y,FA PL4 X/Y,FA PL5 X/Y,FA PL6 X/Y,FA PL7 X/Y,FA PL8 X/Y,FA PL9 X/Y,FA PL10 X/Y,FA PL11 X/Y,FA ROLE PL1,FA ROLE PL2,FA ROLE PL3,FA ROLE PL4,FA ROLE PL5,FA ROLE PL6,FA ROLE PL7,FA ROLE PL8,FA ROLE PL9,FA ROLE PL10,FA ROLE PL11,FA ATTACK PL1,FA ATTACK PL2,FA ATTACK PL3,FA ATTACK PL4,FA ATTACK PL5,FA ATTACK PL6,FA ATTACK PL7,FA ATTACK PL8,FA ATTACK PL9,FA ATTACK PL10,FA ATTACK PL11,FA DEFENCE PL1,FA DEFENCE PL2,FA DEFENCE PL3,FA DEFENCE PL4,FA DEFENCE PL5,FA DEFENCE PL6,FA DEFENCE PL7,FA DEFENCE PL8,FA DEFENCE PL9,FA DEFENCE PL10,FA DEFENCE PL11,FB PL1 X/Y,FB PL2 X/Y,FB PL3 X/Y,FB PL4 X/Y,FB PL5 X/Y,FB PL6 X/Y,FB PL7 X/Y,FB PL8 X/Y,FB PL9 X/Y,FB PL10 X/Y,FB PL11 X/Y,FB ROLE PL1,FB ROLE PL2,FB ROLE PL3,FB ROLE PL4,FB ROLE PL5,FB ROLE PL6,FB ROLE PL7,FB ROLE PL8,FB ROLE PL9,FB ROLE PL10,FB ROLE PL11,FB ATTACK PL1,FB ATTACK PL2,FB ATTACK PL3,FB ATTACK PL4,FB ATTACK PL5,FB ATTACK PL6,FB ATTACK PL7,FB ATTACK PL8,FB ATTACK PL9,FB ATTACK PL10,FB ATTACK PL11,FB DEFENCE PL1,FB DEFENCE PL2,FB DEFENCE PL3,FB DEFENCE PL4,FB DEFENCE PL5,FB DEFENCE PL6,FB DEFENCE PL7,FB DEFENCE PL8,FB DEFENCE PL9,FB DEFENCE PL10,FB DEFENCE PL11,ORD 1,ORD 2,ORD 3,ORD 4,ORD 5,ORD 6,ORD 7,ORD 8,ORD 9,ORD 10,ORD 11,ORD 12,ORD 13,ORD 14,ORD 15,ORD 16,ORD 17,ORD 18,ORD 19,ORD 20,ORD 21,ORD 22,ORD 23,ORD 24,ORD 25,ORD 26,ORD 27,ORD 28,ORD 29,ORD 30,ORD 31,ORD 32,F0 AD CARD1,F0 AD CARD2,F0 AD CARD3,F0 AD CARD4,F0 AD CARD5,F0 AD CARD6,F0 AD CARD7,F0 AD CARD8,F0 AD CARD9,F0 AD CARD10,F0 AD CARD11,F0 TS PLAYER SUPP,F0 TS SUPP RANGE,F0 TS POS SWITCH,F0 TS ATT STYLE,F0 TS PRESSING,F0 TS DEF LINE,F0 TS COMPACTNESS,F0 TS DEF STRATEGY,FA AD CARD1,FA AD CARD2,FA AD CARD3,FA AD CARD4,FA AD CARD5,FA AD CARD6,FA AD CARD7,FA AD CARD8,FA AD CARD9,FA AD CARD10,FA AD CARD11,FA TS PLAYER SUPP,FA TS SUPP RANGE,FA TS POS SWITCH,FA TS ATT STYLE,FA TS PRESSING,FA TS DEF LINE,FA TS COMPACTNESS,FA TS DEF STRATEGY,FB AD CARD1,FB AD CARD2,FB AD CARD3,FB AD CARD4,FB AD CARD5,FB AD CARD6,FB AD CARD7,FB AD CARD8,FB AD CARD9,FB AD CARD10,FB AD CARD11,FB TS PLAYER SUPP,FB TS SUPP RANGE,FB TS POS SWITCH,FB TS ATT STYLE,FB TS PRESSING,FB TS DEF LINE,FB TS COMPACTNESS,FB TS DEF STRATEGY,TEAMNAME 1,TEAMNAME 2,TEAMNAME 3,TEAMNAME 4,TEAMNAME 5,TEAMNAME 6,TEAMNAME 7,TEAMNAME 8,TEAMNAME 9,TEAMNAME 10,TEAMNAME 11,TEAMNAME 12,TEAMNAME 13,TEAMNAME 14,TEAMNAME 15,TEAMNAME 16,TEAMNAME 17,TEAMNAME 18,TEAMNAME 19,TEAMNAME 20,TACTICAL ASSISTANCE 1,TACTICAL ASSISTANCE 2,TACTICAL ASSISTANCE 3,P.TACTICS 1,P.TACTICS 2,P.TACTICS 3
奥地利,AUT,20,16,0,ALMER,1,DRAGOVIC,4,SCHIEMER,5,GARICS,2,SUTTNER,3,BAUMGARTLINGER,6,ALABA,7,IVANSCHITZ,10,HARNIK,8,ARNAUTOVIC,11,MARC JANKO,9,LINDNER,13,POGATETZ,14,PRODL,15,KLEIN,17,FUCHS,19,ORTLECHNER,25,SCHARNER,26,PEHLIVAN,21,JANTSCHER,18,JUNUZOVIC,20,KAVLAK,24,MAIERHOFER,22,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,9,7,7,7,7,255,255,255,255,-,8x63,8x41,9x85,9x19,18x63,18x41,29x76,29x26,37x62,39x43,0,7,1,9,8,12,19,28,24,40,36,0,0,0,0,0,0,0,17,40,40,17,1,1,1,1,1,1,1,1,2,1,1,-,8x63,8x41,9x85,9x19,18x63,18x41,29x76,29x26,37x62,39x43,0,7,1,9,8,12,19,28,24,40,36,0,0,0,0,0,0,0,17,40,40,17,1,1,1,1,1,1,1,1,2,1,1,-,8x63,8x41,9x85,9x19,18x63,18x41,29x76,29x26,37x62,39x43,0,7,1,9,8,12,19,28,24,40,36,0,0,0,0,0,0,0,17,40,40,17,1,1,1,1,1,1,1,1,2,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,11,11,8,10,10,9,0,2,2,2,2,2,2,2,2,2,2,2,10,11,11,8,10,10,9,0,2,2,2,2,2,2,2,2,2,2,2,10,11,11,8,10,10,9,0,Austria,AUTRICHE,?STERREICH,AUSTRIA,AUSTRIA,奥地利,AUSTRIA,奥地利,AUSTRIA,AUSTRIA,áUSTRIA,AUSTRIA,АВСТРИЯ,ΑΥΣΤΡΙΑ,?STERRIKE,OOSTENRIJK,áUSTRIA,AVUSTURYA,AUSTRIA,AUSTRIA,1,3,2,1,0,0
比利时,BEL,20,16,1,MIGNOLET,1,KOMPANY,4,VERMAELEN,5,GILLET,13,VERTONGHEN,15,WITSEL,8,FELLAINI,6,MIRALLAS,7,MERTENS,20,HAZARD,10,DE CAMARGO,22,GILLET,21,ALDERWEIRELD,3,VAN BUYTEN,12,LOMBAERTS,23,ODOI,2,SIMONS,14,DEFOUR,17,NAINGGOLAN,18,DEMBELE,11,CHADLI,16,LUKAKU,9,VOSSEN,19,,255,,255,,255,,255,,255,,255,,255,,255,,255,9,9,4,9,9,9,2,255,255,255,255,-,11x63,11x40,12x88,12x16,21x63,24x40,33x81,33x22,32x52,43x52,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,16,17,24,48,17,40,1,1,1,1,1,1,0,1,1,0,2,-,11x63,11x40,12x88,12x16,21x63,24x40,33x81,33x22,32x52,43x52,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,16,17,24,48,17,40,1,1,1,1,1,1,0,1,1,0,2,-,11x63,11x40,12x88,12x16,21x63,24x40,33x81,33x22,32x52,43x52,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,17,16,17,24,48,17,40,1,1,1,1,1,1,0,1,1,0,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,12,13,10,10,11,11,0,2,2,2,2,2,2,2,2,2,2,2,10,12,13,10,10,11,11,0,2,2,2,2,2,2,2,2,2,2,2,10,12,13,10,10,11,11,0,Belgium,BELGIQUE,BELGIEN,BELGIO,BéLGICA,比利時,BELGIUM,比利时,BELGIUM,BELGIUM,BéLGICA,BéLGICA,БЕЛЬГИЯ,ΒΕΛΓΙΟ,BELGIEN,BELGI?,BéLGICA,BEL??KA,BELGIUM,BELGIUM,1,3,2,3,2,5
波斯尼亚和黑塞哥维那,BIH,9,16,2,BEGOVIC,1,PANDZA,5,SANEL JAHIC,7,MUJDZA,13,LULIC,16,RAHIMIC,6,MEDUNJANIN,18,PJANIC,8,MISIMOVIC,10,DZEKO,11,IBISEVIC,14,HASAGIC,12,EMIR SPAHIC,4,PAPAC,22,VRANCIC,9,ZAHIROVIC,20,MALETIC,2,SMETANOVIC,21,SALIHOVIC,15,IBRICIC,17,ALISPAHIC,19,S. VRANJES,3,ERMIN ZEC,23,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,8,8,8,8,8,255,255,255,255,-,13x63,13x40,15x88,15x16,21x63,23x40,31x77,31x28,40x63,42x40,0,7,1,9,8,12,19,28,24,33,38,0,0,0,17,17,1,17,96,96,40,0,1,0,0,0,0,1,1,1,1,1,1,-,13x63,13x40,15x88,15x16,21x63,23x40,31x77,31x28,40x63,42x40,0,7,1,9,8,12,19,28,24,33,38,0,0,0,17,17,1,17,96,96,40,0,1,0,0,0,0,1,1,1,1,1,1,-,13x63,13x40,15x88,15x16,21x63,23x40,31x77,31x28,40x63,42x40,0,7,1,9,8,12,19,28,24,33,38,0,0,0,17,17,1,17,96,96,40,0,1,0,0,0,0,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,11,14,11,9,12,11,0,2,2,2,2,2,2,2,2,2,2,2,12,11,14,11,9,12,11,0,2,2,2,2,2,2,2,2,2,2,2,12,11,14,11,9,12,11,0,Bosnia And Herzegovina,BOSNIE-HERZéGOVINE,BOSNIEN UND HERZEGOWINA,BOSNIA-ERZEGOVINA,BOSNIA-HERZEGOVINA,波斯尼亞,BOSNIA AND HERZEGOVINA,波斯尼亚和黑塞哥维那,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA,BóSNIA E HERZEGOVINA,BOSNIA-HERZEGOVINA,БОСНИЯ И ГЕРЦЕГОВИНА,ΒΟΖΝΙΑ - ΕΡΖΕΓΟΒΙΝΗ,BOSNIEN OCH HERCEGOVINA,BOSNI?-HERZEGOVINA,BóSNIA-HERZEGóVINA,BOSNA HERSEK,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA,1,3,2,3,4,2
保加利亚,BGR,4,16,3,MICHAILOV,13,BODUROV,5,I. IVANOV,15,BANDALOVSKI,11,ZANEV,4,DYAKOV,21,GADHZEV,18,MILANOV,20,MANOLEV,2,POPOV,9,BOJINOV,10,KOLEV,12,VALENTIN ILIEV,3,MINEV,6,V. MINEV,14,GALCHEV,16,ZLATINSKI,22,PETROV,17,GARGOROV,23,TONEV,24,K. STOYANOV,7,RANGELOV,8,MITSANSKI,19,,255,,255,,255,,255,,255,,255,,255,,255,,255,6,10,6,6,6,9,9,255,255,255,255,-,12x63,12x41,14x87,14x17,20x51,25x66,26x37,33x86,33x19,40x53,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,17,17,17,40,40,0,1,0,0,1,1,0,1,1,1,1,2,-,12x63,12x41,14x87,14x17,20x51,25x66,26x37,33x86,33x19,40x53,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,17,17,17,40,40,0,1,0,0,1,1,0,1,1,1,1,2,-,12x63,12x41,14x87,14x17,20x51,25x66,26x37,33x86,33x19,40x53,0,7,1,9,8,12,21,17,23,22,38,0,0,0,17,17,17,17,17,40,40,0,1,0,0,1,1,0,1,1,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,11,10,12,8,9,10,11,0,2,2,2,2,2,2,2,2,2,2,2,11,10,12,8,9,10,11,0,2,2,2,2,2,2,2,2,2,2,2,11,10,12,8,9,10,11,0,Bulgaria,BULGARIE,BULGARIEN,BULGARIA,BULGARIA,保加利亞,BULGARIA,保加利亚,BULGARIA,BULGARIA,BULGáRIA,BULGARIA,БОЛГАРИЯ,ΒΟΥΛΓΑΡΙΑ,BULGARIEN,BULGARIJE,BULGáRIA,BULGAR?STAN,BULGARIA,BULGARIA,1,3,2,2,1,0
克罗地亚,HRV,7,16,4,PLETIKOSA,1,CORLUKA,5,SCHILDENFELD,13,SRNA,11,STRINIC,2,VUKOJEVIC,8,MODRIC,10,IVAN,7,PERISIC,20,MANDZUKIC,17,JELAVIC,9,KELAVA,12,SUBASIC,23,SIMUNIC,3,BULJAT,4,VIDA,21,VRSALJKO,15,DUJMOVIC,16,BADELJ,14,PRANJIC,6,KRANJCAR,19,KALINIC,18,EDUARDO,22,,255,,255,,255,,255,,255,,255,,255,,255,,255,7,7,3,7,3,3,3,255,255,255,255,-,12x63,12x41,13x85,13x19,21x63,24x41,26x83,26x22,37x62,40x41,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,1,17,24,48,17,0,1,1,1,1,1,0,0,1,1,0,1,-,12x63,12x41,13x85,13x19,21x63,24x41,26x83,26x22,37x62,40x41,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,1,17,24,48,17,0,1,1,1,1,1,0,0,1,1,0,1,-,12x63,12x41,13x85,13x19,21x63,24x41,26x83,26x22,37x62,40x41,0,7,1,9,8,12,19,23,22,33,38,0,0,0,17,17,1,17,24,48,17,0,1,1,1,1,1,0,0,1,1,0,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,12,14,11,12,10,10,13,0,2,2,2,2,2,2,2,2,2,2,2,12,14,11,12,10,10,13,0,2,2,2,2,2,2,2,2,2,2,2,12,14,11,12,10,10,13,0,Croatia,CROATIE,KROATIEN,CROAZIA,CROACIA,克羅地亞,CROATIA,克罗地亚,CROATIA,CROATIA,CROáCIA,CROACIA,ХОРВАТИЯ,ΚΡΟΑΤΙΑ,KROATIEN,KROATI?,CROáCIA,HIRVAT?STAN,CROATIA,CROATIA,1,3,2,3,1,2
捷克,CZE,8,16,5,CECH,1,HUBNIK,5,SIVOK,6,GEBRE SELASSIE,2,KADLEC,3,PLASIL,13,JIRACEK,19,REZEK,9,PILAR,14,ROSICKY,10,BAROS,15,LASTUVKA,16,J. DROBNY,23,SUCHY,4,RAJTORAL,12,LIMBERSKY,8,HUBSCHMAN,17,DARIDA,22,PETRZELA,11,KOLAR,18,NECID,7,PEKHART,20,LAFATA,21,,255,,255,,255,,255,,255,,255,,255,,255,,255,5,5,9,9,5,4,0,255,255,255,255,-,10x63,10x41,13x88,12x16,20x62,22x38,32x85,32x18,30x54,40x52,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,0,0,17,40,40,0,16,1,1,1,1,1,1,0,1,1,1,1,-,10x63,10x41,13x88,12x16,20x62,22x38,32x85,32x18,30x54,40x52,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,0,0,17,40,40,0,16,1,1,1,1,1,1,0,1,1,1,1,-,10x63,10x41,13x88,12x16,20x62,22x38,32x85,32x18,30x54,40x52,0,7,1,9,8,12,19,23,22,26,38,0,0,0,17,0,0,17,40,40,0,16,1,1,1,1,1,1,0,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,8,12,12,8,11,9,10,0,2,2,2,2,2,2,2,2,2,2,2,8,12,12,8,11,9,10,0,2,2,2,2,2,2,2,2,2,2,2,8,12,12,8,11,9,10,0,Czech Republic,RéPUBLIQUE TCHèQUE,TSCHECHIEN,REPUBBLICA CECA,REPúBLICA CHECA,捷克,CZECH REPUBLIC,捷克,CZECH REPUBLIC,CZECH REPUBLIC,REPúBLICA CHECA,REPúBLICA CHECA,ЧЕХИЯ,ΤΣΕΧΙΑ,TJECKIEN,TSJECHISCHE REPUBLIEK,REPúBLICA TCHECA,?EK CUMHUR?YET?,CZECH REPUBLIC,CZECH REPUBLIC,1,3,2,2,1,0
丹麦,DNK,7,16,6,ANDERSEN,1,K J AE R,3,AGGER,4,JACOBSEN,6,SIMON POULSEN,5,K V I S T,7,ZIMLING,21,ROMMEDAHL,10,KROHN-DEHLI,9,ERIKSEN,8,BENDTNER,11,LINDEGAARD,16,SCHMEICHEL,22,BJELLAND,12,OKORE,13,D. WASS,18,CHR.POULSEN,2,SILBERBAUER,15,JAKOB POULSEN,19,SCHONE,14,KAHLENBERG,20,T. MIKKELSEN,23,N. PEDERSEN,17,,255,,255,,255,,255,,255,,255,,255,,255,,255,9,9,3,8,8,2,2,255,255,255,255,-,12x63,12x40,13x88,13x16,22x63,23x40,32x87,32x17,30x52,39x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,17,17,24,48,17,17,1,1,1,1,1,0,0,1,1,1,2,-,12x63,12x40,13x88,13x16,22x63,23x40,32x87,32x17,30x52,39x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,17,17,24,48,17,17,1,1,1,1,1,0,0,1,1,1,2,-,12x63,12x40,13x88,13x16,22x63,23x40,32x87,32x17,30x52,39x52,0,7,1,9,8,21,17,23,22,26,38,0,0,0,17,17,17,17,24,48,17,17,1,1,1,1,1,0,0,1,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,8,8,9,7,9,9,11,0,2,2,2,2,2,2,2,2,2,2,2,8,8,9,7,9,9,11,0,2,2,2,2,2,2,2,2,2,2,2,8,8,9,7,9,9,11,0,Denmark,DANEMARK,D?NEMARK,DANIMARCA,DINAMARCA,丹麥,DENMARK,丹麦,DENMARK,DENMARK,DINAMARCA,DINAMARCA,ДАНИЯ,ΔΑΝΙΑ,DANMARK,DENEMARKEN,DINAMARCA,DAN?MARKA,DENMARK,DENMARK,1,3,2,1,2,0
英格兰,ENG,35,16,7,HART,1,TERRY,6,LESCOTT,15,G. JOHNSON,2,A. COLE,3,GERRARD,4,PARKER,17,MILNER,16,CHAMBERLAIN,20,YOUNG,11,WELBECK,22,GREEN,13,BUTLAND,23,JONES,14,JAGIELKA,18,KELLY,5,BAINES,12,HENDERSON,8,DOWNING,19,WALCOTT,7,CARROLL,9,ROONEY,10,DEFOE,21,,255,,255,,255,,255,,255,,255,,255,,255,,255,5,5,9,5,5,5,5,255,255,255,255,-,12x63,12x41,13x88,13x16,22x63,22x41,26x82,26x21,36x41,42x63,0,7,1,9,8,21,17,23,22,33,38,0,0,0,17,17,17,17,24,48,40,17,1,1,1,1,1,1,1,1,1,1,1,-,12x63,12x41,13x88,13x16,22x63,22x41,26x82,26x21,36x41,42x63,0,7,1,9,8,21,17,23,22,33,38,0,0,0,17,17,17,17,24,48,40,17,1,1,1,1,1,1,1,1,1,1,1,-,12x63,12x41,13x88,13x16,22x63,22x41,26x82,26x21,36x41,42x63,0,7,1,9,8,21,17,23,22,33,38,0,0,0,17,17,17,17,24,48,40,17,1,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,10,9,11,9,10,10,10,0,2,2,2,2,2,2,2,2,2,2,2,10,9,11,9,10,10,10,0,2,2,2,2,2,2,2,2,2,2,2,10,9,11,9,10,10,10,0,England,ANGLETERRE,ENGLAND,INGHILTERRA,INGLATERRA,英格蘭,ENGLAND,英格兰,ENGLAND,ENGLAND,INGLATERRA,INGLATERRA,АНГЛИЯ,ΑΓΓΛΙΑ,ENGLAND,ENGELAND,INGLATERRA,?NG?LTERE,ENGLAND,ENGLAND,1,3,2,1,2,0
芬兰,FIN,4,16,8,FREDRIKSON,1,PASANEN,2,TOIVIO,4,RAITALA,22,MOISANDER,3,RING,19,EREMENKO,7,SPARV,14,HAMALAINEN,21,PUKKI,10,FORSSELL,9,HRADECKY,12,OJALA,16,HALSTI,23,LAMPI,5,ARKIVUO,13,VAYRYNEN,6,HETEMAJ,8,SJOLUND,15,EREMENKO,20,POROKARA,17,FURUHOLM,11,KUQI,18,,255,,255,,255,,255,,255,,255,,255,,255,,255,6,6,8,6,6,10,1,255,255,255,255,-,12x62,12x42,13x86,13x19,24x68,22x52,24x36,36x77,36x27,40x52,0,7,1,9,8,21,19,17,35,31,38,0,0,0,17,17,1,1,1,17,17,0,1,0,0,1,1,1,1,1,1,1,1,-,12x62,12x42,13x86,13x19,24x68,22x52,24x36,36x77,36x27,40x52,0,7,1,9,8,21,19,17,35,31,38,0,0,0,17,17,1,1,1,17,17,0,1,0,0,1,1,1,1,1,1,1,1,-,12x62,12x42,13x86,13x19,24x68,22x52,24x36,36x77,36x27,40x52,0,7,1,9,8,21,19,17,35,31,38,0,0,0,17,17,1,1,1,17,17,0,1,0,0,1,1,1,1,1,1,1,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,11,10,8,9,12,12,12,0,2,2,2,2,2,2,2,2,2,2,2,11,10,8,9,12,12,12,0,2,2,2,2,2,2,2,2,2,2,2,11,10,8,9,12,12,12,0,Finland,FINLANDE,FINNLAND,FINLANDIA,FINLANDIA,芬蘭,FINLAND,芬兰,FINLAND,FINLAND,FINL?NDIA,FINLANDIA,ФИНЛЯНДИЯ,ΦΙΝΛΑΝΔΙΑ,FINLAND,FINLAND,FINL?NDIA,F?NLAND?YA,FINLAND,FINLAND,1,3,2,2,0,0
法国,FRA,4,16,9,LLORIS,1,RAMI,4,MEXES,5,DEBUCHY,2,EVRA,3,DIARRA,18,CABAYE,6,MALOUDA,15,NASRI,11,RIBERY,7,BENZEMA,10,MANDANDA,16,CARRASSO,23,KOSCIELNY,21,REVEILLERE,13,CLICHY,22,MATUIDI,12,M’VILA,17,BEN ARFA,20,VALBUENA,8,MARTIN,19,MENEZ,14,GIROUD,9,,255,,255,,255,,255,,255,,255,,255,,255,,255,8,8,6,8,7,10,0,255,255,255,255,-,11x64,11x40,14x92,13x12,20x52,29x54,27x37,33x77,34x16,40x46,0,7,1,9,8,12,21,17,23,22,38,0,0,0,16,16,0,24,80,64,36,80,1,1,1,2,1,0,1,1,1,1,2,-,11x64,11x40,14x92,13x12,20x52,29x54,27x37,33x77,34x16,40x46,0,7,1,9,8,12,21,17,23,22,38,0,0,0,16,16,0,24,80,64,36,80,1,1,1,2,1,0,1,1,1,1,2,-,11x64,11x40,14x92,13x12,20x52,29x54,27x37,33x77,34x16,40x46,0,7,1,9,8,12,21,17,23,22,38,0,0,0,16,16,0,24,80,64,36,80,1,1,1,2,1,0,1,1,1,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,2,2,2,2,2,2,2,2,2,2,2,13,12,11,6,13,12,13,0,2,2,2,2,2,2,2,2,2,2,2,13,12,11,6,13,12,13,0,2,2,2,2,2,2,2,2,2,2,2,13,12,11,6,13,12,13,0,France,FRANCE,FRANKREICH,FRANCIA,FRANCIA,法國,FRANCE,法国,FRANCE,FRANCE,FRAN?A,FRANCIA,ФРАНЦИЯ,ΓΑΛΛΙΑ,FRANKRIKE,FRANKRIJK,FRAN?A,FRANSA,FRANCE,FRANCE,1,3,2,2,0,0
